@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.28198,-0.05539,-0.29861,-0.225902,0.0424094,-0.25949,-0.28198,-0.05539,-0.29861,
-0.37262,-0.02518,-0.21137,-0.225902,0.0424094,-0.25949,-0.37262,-0.02518,-0.21137,
-0.29205,0.12085,-0.09059,-0.225902,0.0424094,-0.25949,-0.29205,0.12085,-0.09059,
-0.28702,0.00504,-0.16776,-0.225902,0.0424094,-0.25949,-0.28702,0.00504,-0.16776,
-0.20142,0.03525,-0.29525,-0.225902,0.0424094,-0.25949,-0.20142,0.03525,-0.29525,
-0.39276,-0.13596,-0.31538,-0.225902,0.0424094,-0.25949,-0.39276,-0.13596,-0.31538,
-0.34241,0.09064,-0.15434,-0.225902,0.0424094,-0.25949,-0.34241,0.09064,-0.15434,
-0.40283,-0.14099,-0.15434,-0.225902,0.0424094,-0.25949,-0.40283,-0.14099,-0.15434,
-0.40283,0.18127,-0.42275,-0.225902,0.0424094,-0.25949,-0.40283,0.18127,-0.42275,
-0.46326,-0.04028,-0.28519,-0.225902,0.0424094,-0.25949,-0.46326,-0.04028,-0.28519,
-0.55893,-0.14099,-0.359,-0.225902,0.0424094,-0.25949,-0.55893,-0.14099,-0.359,
-0.23163,0.09567,-0.30867,-0.225902,0.0424094,-0.25949,-0.23163,0.09567,-0.30867,
-0.28702,0.08057,-0.22815,-0.225902,0.0424094,-0.25949,-0.28702,0.08057,-0.22815,
-0.21149,0.10574,-0.39591,-0.225902,0.0424094,-0.25949,-0.21149,0.10574,-0.39591,
-0.20142,-0.04532,-0.44288,-0.225902,0.0424094,-0.25949,-0.20142,-0.04532,-0.44288,
-0.1712,0,-0.29861,-0.225902,0.0424094,-0.25949,-0.1712,0,-0.29861,
-0.2417,0.01511,-0.16776,-0.225902,0.0424094,-0.25949,-0.2417,0.01511,-0.16776,
-0.54382,0.09567,-0.39255,-0.225902,0.0424094,-0.25949,-0.54382,0.09567,-0.39255,
-0.27393,0.31421,-0.34088,-0.225902,0.0424094,-0.25949,-0.27393,0.31421,-0.34088,
-0.38773,0.26184,-0.25499,-0.225902,0.0424094,-0.25949,-0.38773,0.26184,-0.25499,
-0.46829,0.06546,-0.2315,-0.225902,0.0424094,-0.25949,-0.46829,0.06546,-0.2315,
-0.18127,-0.0705,-0.21808,-0.225902,0.0424094,-0.25949,-0.18127,-0.0705,-0.21808,
-0.44312,0.22659,-0.31538,-0.225902,0.0424094,-0.25949,-0.44312,0.22659,-0.31538,
-0.50858,-0.09064,-0.14763,-0.225902,0.0424094,-0.25949,-0.50858,-0.09064,-0.14763,
-0.30716,0.03021,-0.28519,-0.225902,0.0424094,-0.25949,-0.30716,0.03021,-0.28519,
-0.16113,0.12085,-0.34893,-0.225902,0.0424094,-0.25949,-0.16113,0.12085,-0.34893,
-0.4129,-0.16113,-0.28519,-0.225902,0.0424094,-0.25949,-0.4129,-0.16113,-0.28519,
-0.33838,0.06848,-0.37041,-0.225902,0.0424094,-0.25949,-0.33838,0.06848,-0.37041,
-0.37766,0.06042,-0.31538,-0.225902,0.0424094,-0.25949,-0.37766,0.06042,-0.31538,
-0.34241,-0.19135,-0.33216,-0.225902,0.0424094,-0.25949,-0.34241,-0.19135,-0.33216,
-0.00504,0.12085,-0.2617,-0.225902,0.0424094,-0.25949,-0.00504,0.12085,-0.2617,
-0.1712,0.14099,-0.18453,-0.225902,0.0424094,-0.25949,-0.1712,0.14099,-0.18453,
-0.15106,-0.00504,-0.37913,-0.225902,0.0424094,-0.25949,-0.15106,-0.00504,-0.37913,
-0.19135,-0.01007,-0.15434,-0.225902,0.0424094,-0.25949,-0.19135,-0.01007,-0.15434,
-0.25177,-0.23163,-0.3288,-0.225902,0.0424094,-0.25949,-0.25177,-0.23163,-0.3288,
-0.14603,0.05539,-0.26841,-0.225902,0.0424094,-0.25949,-0.14603,0.05539,-0.26841,
-0.32227,0.02417,-0.41604,-0.225902,0.0424094,-0.25949,-0.32227,0.02417,-0.41604,
